Date,Value
1980-01-01,90800.0
1980-02-01,90883.0
1980-03-01,90994.0
1980-04-01,90849.0
1980-05-01,90420.0
1980-06-01,90101.0
1980-07-01,89840.0
1980-08-01,90099.0
1980-09-01,90213.0
1980-10-01,90490.0
1980-11-01,90747.0
1980-12-01,90943.0
1981-01-01,91033.0
1981-02-01,91105.0
1981-03-01,91210.0
1981-04-01,91283.0
1981-05-01,91296.0
1981-06-01,91490.0
1981-07-01,91601.0
1981-08-01,91565.0
1981-09-01,91477.0
1981-10-01,91380.0
1981-11-01,91171.0
1981-12-01,90895.0
1982-01-01,90565.0
1982-02-01,90563.0
1982-03-01,90434.0
1982-04-01,90150.0
1982-05-01,90107.0
1982-06-01,89865.0
1982-07-01,89521.0
1982-08-01,89363.0
1982-09-01,89183.0
1982-10-01,88907.0
1982-11-01,88786.0
1982-12-01,88771.0
1983-01-01,88990.0
1983-02-01,88917.0
1983-03-01,89090.0
1983-04-01,89364.0
1983-05-01,89644.0
1983-06-01,90021.0
1983-07-01,90437.0
1983-08-01,90129.0
1983-09-01,91247.0
1983-10-01,91520.0
1983-11-01,91875.0
1983-12-01,92230.0
1984-01-01,92673.0
1984-02-01,93157.0
1984-03-01,93429.0
1984-04-01,93792.0
1984-05-01,94098.0
1984-06-01,94479.0
1984-07-01,94789.0
1984-08-01,95032.0
1984-09-01,95344.0
1984-10-01,95629.0
1984-11-01,95982.0
1984-12-01,96107.0
1985-01-01,96372.0
1985-02-01,96503.0
1985-03-01,96842.0
1985-04-01,97038.0
1985-05-01,97312.0
1985-06-01,97459.0
1985-07-01,97648.0
1985-08-01,97840.0
1985-09-01,98045.0
1985-10-01,98233.0
1985-11-01,98443.0
1985-12-01,98609.0
1986-01-01,98732.0
1986-02-01,98847.0
1986-03-01,98934.0
1986-04-01,99121.0
1986-05-01,99248.0
1986-06-01,99155.0
1986-07-01,99473.0
1986-08-01,99588.0
1986-09-01,99934.0
1986-10-01,100121.0
1986-11-01,100308.0
1986-12-01,100509.0
1987-01-01,100678.0
1987-02-01,100919.0
1987-03-01,101164.0
1987-04-01,101499.0
1987-05-01,101728.0
1987-06-01,101900.0
1987-07-01,102247.0
1987-08-01,102420.0
1987-09-01,102647.0
1987-10-01,103138.0
1987-11-01,103372.0
1987-12-01,103661.0
1988-01-01,103753.0
1988-02-01,104214.0
